570-1,Titan II,Oracle,Davis-Monthan,Lat: 32°35'50.61""N,Long: 110°53'21.53""W
570-2,Titan II,Three Points,Davis-Monthan,Lat: 32° 6'4.05""N,Long: 111°15'45.19""W
570-3,Titan II,Rillito,Davis-Monthan,Lat: 32°22'4.95""N,Long: 111°27'44.08""W
570-4,Titan II,Rillito,Davis-Monthan,Lat: 32°21'34.07""N,Long: 111°19'4.95""W
570-5,Titan II,Rillito,Davis-Monthan,Lat: 32°31'23.72""N,Long: 111°14'22.10""W
570-6,Titan II,Rillito,Davis-Monthan,Lat: 32°25'41.10""N,Long: 111° 8'15.90""W
570-7,Titan II,Oracle Junction,Davis-Monthan,Lat: 32°44'55.27""N,Long: 111° 6'56.90""W
570-8,Titan II,Oracle Junction,Davis-Monthan,Lat: 32°39'10.25""N,Long: 111° 1'40.89""W
570-9,Titan II,Oracle Junction,Davis-Monthan,Lat: 32°28'42.51""N,Long: 110°55'44.53""W
571-1,Titan II,Benson,Davis-Monthan,Lat: 31°58'55.97""N,Long: 110°11'7.32""W
571-2,Titan II,Benson,Davis-Monthan,Lat: 31°57'34.03""N,Long: 110°22'25.46""W
571-3,Titan II,Mescal,Davis-Monthan,Lat: 31°58'15.65""N,Long: 110°30'27.68""W
571-4,Titan II,Pantano,Davis-Monthan,Lat: 31°57'26.29""N,Long: 110°39'46.15""W
571-5,Titan II,Continental,Davis-Monthan,Lat: 31°45'13.40""N,Long: 110°53'27.29""W
571-6,Titan II,Amado,Davis-Monthan,Lat: 31°38'40.63""N,Long: 111° 4'13.96""W
571-7,Titan II,Green Valley,Davis-Monthan,Lat: 31°54'13.60""N,Long: 110°59'57.22""W
571-8,Titan II,Palo Alto,Davis-Monthan,Lat: 31°53'17.42""N,Long: 111°23'20.75""W
571-9,Titan II,Three Points,Davis-Monthan,Lat: 32° 0'15.53""N,Long: 111°21'16.95""W
373-1,Titan II,Mount Vernon,Little Rock,Lat: 35°12'34.36""N,Long: 92° 7'28.92""W
373-2,Titan II,Rose Bud,Little Rock,Lat: 35°18'54.42""N,Long: 92° 1'9.34""W
373-3,Titan II,Heber Springs,Little Rock,Lat: 35°26'31.65""N,Long: 91°58'57.06""W
373-4,Titan II,Albion,Little Rock,Lat: 35°22'14.52""N,Long: 91°47'39.22""W
373-5,Titan II,Center Hill,Little Rock,Lat: 35°15'38.26""N,Long: 91°51'25.31""W
373-6,Titan II,Antioch,Little Rock,Lat: 35° 8'33.73""N,Long: 91°54'3.76""W
373-7,Titan II,Velvet Ridge,Little Rock,Lat: 35°26'8.25""N,Long: 91°34'5.82""W
373-8,Titan II,Judsonia,Little Rock,Lat: 35°18'15.34""N,Long: 91°39'8.43""W
373-9,Titan II,Hamlet,Little Rock,Lat: 35° 8'41.87""N,Long: 92°15'17.35""W
374-1,Titan II,Blackwell,Little Rock,Lat: 35°13'37.11""N,Long: 92°49'17.14""W
374-2,Titan II,Plummerville,Little Rock,Lat: 35°11'19.31""N,Long: 92°37'50.87""W
374-3,Titan II,Saint Vincent,Little Rock,Lat: 35°18'41.63""N,Long: 92°43'25.66""W
374-4,Titan II,Springfield,Little Rock,Lat: 35°17'15.69""N,Long: 92°32'50.86""W
374-5,Titan II,Springfield,Little Rock,Lat: 35°10'4.14""N,Long: 92°23'33.44""W
374-6,Titan II,Republican,Little Rock,Lat: 35°17'30.30""N,Long: 92°23'12.85""W
374-7,Titan II,Southside,Little Rock,Lat: 35°24'50.59""N,Long: 92°23'50.33""W
374-8,Titan II,Guy,Little Rock,Lat: 35°19'45.96""N,Long: 92°14'59.77""W
374-9,Titan II,Quitman,Little Rock,Lat: 35°24'34.95""N,Long: 92° 8'59.25""W
532-1,Titan II,Wellington,McConnell,Lat: 37°11'3.24""N,Long: 97°24'31.58""W
532-2,Titan II,Wellington,McConnell,Lat: 37°15'15.73""N,Long: 97°32'2.85""W
532-3,Titan II,Conway Springs,McConnell,Lat: 37°21'46.50""N,Long: 97°37'58.45""W
532-4,Titan II,Viola,McConnell,Lat: 37°28'3.10""N,Long: 97°42'41.95""W
532-5,Titan II,Norwich,McConnell,Lat: 37°27'50.79""N,Long: 97°54'40.37""W
532-6,Titan II,Rago,McConnell,Lat: 37°25'31.68""N,Long: 98° 4'7.43""W
532-7,Titan II,Murdock,McConnell,Lat: 37°37'17.12""N,Long: 97°54'13.75""W
532-8,Titan II,Kingman,McConnell,Lat: 37°41'46.38""N,Long: 98° 4'2.73""W
532-9,Titan II,Mount Vernon,McConnell,Lat: 37°45'7.08""N,Long: 97°45'55.22""W
533-1,Titan II,Potwin,McConnell,Lat: 37°58'52.31""N,Long: 97°0'5.26""W
533-2,Titan II,El Dorado,McConnell,Lat: 37°55'26.87""N,Long: 96°50'37.60""W
533-3,Titan II,Leon,McConnell,Lat: 37°41'53.82""N,Long: 96°50'54.19""W
533-4,Titan II,Leon,McConnell,Lat: 37°39'41.37""N,Long: 96°39'25.19""W
533-5,Titan II,Leon,McConnell,Lat: 37°34'16.05""N,Long: 96°46'26.36""W
533-6,Titan II,Smileyville,McConnell,Lat: 37°30'9.29""N,Long: 96°54'12.53""W
533-7,Titan II,Rock,McConnell,Lat: 37°24'28.42""N,Long: 96°59'57.01""W
533-8,Titan II,Winfield,McConnell,Lat: 37°15'40.44""N,Long: 96°51'14.06""W
533-9,Titan II,Oxford,McConnell,Lat: 37°17'35.36""N,Long: 97°13'38.38""W
395-B,Titan II,,Vandenberg,Lat: 34°46'56.58""N,Long: 120°36'28.68""W
395-C,Titan II,,Vandenberg,Lat: 34°44'02.23""N,Long: 120°35'47.52""W
395-D,Titan II,,Vandenberg,Lat: 34°42'27.65""N,Long: 120°35'22.87""W
68-SLTF,Titan II,,Vandenberg,Lat: 34°48'25.03""N,Long: 120°32'57.02""W
